Timestep,Training Rewards,Eval Rewards,Max Q,Loss,Entropy,KL
2048,30.2,39.53333333333333,0.3417998746037483,1.3079426625456128,0.684556416102818,0.001926561418388571
4096,30.8,59.36666666666667,0.9057376176118851,1.3024776040905697,0.6584454894065856,0.0007874252740293741
6144,37.5,98.83333333333333,1.5506569266319274,1.2989924656085392,0.6399649256154111,0.0015380519295209332
8192,52.9,183.2,2.3137865543365477,1.2926385969894476,0.6361805518468221,-0.0001553184197594722
10240,74.5,200.0,3.0086453676223757,1.2922960806337873,0.623946163803339,0.0004785925193573348
12288,89.2,200.0,3.5965226888656616,1.2908897855753598,0.6255618393421173,0.00021641547209583223
14336,63.1,200.0,4.0927962303161625,1.2774858946439593,0.6157460902866564,0.0008988258624939542
16384,106.4,200.0,4.722425413131714,1.2630840351307044,0.6197925914417614,0.002164979253641584
18432,122.7,197.28333333333333,5.156232213973999,1.2465826748125097,0.6096126824617386,0.0014162855048198252
20480,81.5,198.73333333333332,5.66218581199646,1.212581869205571,0.6003067791461945,0.0009248214274910944
22528,112.1,199.76666666666668,6.061452007293701,1.1837762475590003,0.6109985676076677,0.0014429603147113489
24576,124.7,199.56666666666666,6.43548059463501,1.1477763640108516,0.6110264629125595,-0.00019825997296720743
26624,133.9,200.0,6.710076928138733,1.1068512958310983,0.6163831979036332,0.00021468204795382917
28672,112.7,200.0,6.844222474098205,1.0603315595900402,0.6172700762748718,0.00019931465503759683
30000,143.7,200.0,6.978395318984985,1.0062632739374702,0.6632860898971558,0.47886472940444946
