Timestep,Training Rewards,Max Q,Eval Rewards,Loss
533,29.833333333333332,0.17056995906336306,9.333333333333334,0.5058867467775217
1043,18.5,0.33574211873880744,9.233333333333333,0.051973668325225236
1544,23.0,0.5414821266221015,9.4,0.020737229864225628
2045,18.5,0.7825976687177073,9.516666666666667,0.023579790579253062
2546,15.666666666666666,1.0573768734053122,9.4,0.029632147660242282
3069,18.166666666666668,1.3701125017695601,9.383333333333333,0.02980473662193807
3577,15.833333333333334,1.7059429538665178,9.333333333333334,0.034359443415756814
4094,19.833333333333332,2.0641014449736765,9.366666666666667,0.03570597475644785
4600,11.666666666666666,2.4338160741830173,9.333333333333334,0.03514103479246429
5109,17.166666666666668,2.8051669953659766,10.066666666666666,0.03890008208131781
5615,17.0,3.186312364344623,12.866666666666667,0.033277532294519456
6138,27.333333333333332,3.610184856904748,37.25,0.03317652630460656
6645,78.5,4.132880528838499,127.83333333333333,0.03308219857882917
7175,106.0,4.667104958227285,173.45,0.024747176658021924
7751,131.5,5.220849881555544,200.0,0.026229762219141486
8351,190.33333333333334,5.817017816075918,185.85,0.02301795957724178
8951,200.0,6.440502133333729,181.7,0.025067372925961614
9535,197.33333333333334,7.083086780166068,179.03333333333333,0.023584507906072336
10147,166.16666666666666,7.754754873876825,152.76666666666668,0.020462189914126804
10726,143.33333333333334,8.436967875708289,150.11666666666667,0.019077207424439344
11329,146.0,9.140376687881805,127.68333333333334,0.017996977525554323
11849,135.5,9.829420839955326,143.28333333333333,0.016826610036611227
12349,125.83333333333333,10.517643723578637,135.43333333333334,0.020708940571847318
12870,127.5,11.212793646401902,123.83333333333333,0.020804810942006473
13389,130.66666666666666,11.89791733723166,135.63333333333333,0.017342803864212233
13919,131.5,12.578104320824655,138.55,0.0199482504998109
