Timestep,Training Rewards,Eval Rewards,Max Q,Loss,Entropy,KL
2048,30.4,59.4,0.29010099172592163,1.2542212140815598,0.6742908209562302,0.0010433143586851656
4096,30.8,65.13333333333334,1.0749964892864228,1.2523294623685621,0.6541729092597961,0.0016671314835548401
6144,35.7,94.76666666666667,1.6713878512382507,1.242698050549777,0.6411596123988812,0.0013996353283381234
8192,63.4,147.35,2.4198588848114015,1.2323329400582042,0.6261319279670715,0.0018097973506276807
10240,63.4,121.78333333333333,3.0857292890548704,1.2295176665133933,0.6222186854907444,0.0020311553796221104
12288,66.7,160.2,3.74320068359375,1.2169581471953819,0.6252959668636322,0.00022979658097028733
14336,89.7,123.96666666666667,4.189584970474243,1.2036846252351614,0.6168659001588821,0.0005002358579076826
16384,90.3,148.05,4.7003889083862305,1.175802832663089,0.6083119988441468,0.0021394920186139643
18432,105.4,150.45,5.199789094924927,1.150540341552363,0.6216765425421975,-0.0002378802111541683
20480,101.8,174.0,5.617740535736084,1.1230401753715127,0.6131214747826258,0.0009139932129376879
22528,96.6,155.61666666666667,5.929866695404053,1.0853157714032593,0.6101595833897591,0.0007893821893958375
24576,79.0,191.73333333333332,6.2733662843704225,1.0479766652585145,0.6086188554763794,0.0009760542598087341
26624,82.9,200.0,6.53449444770813,1.006758824684029,0.6102227389812469,0.00022398981382139028
28672,82.5,200.0,6.661165690422058,0.9592645471087248,0.610052850511339,0.0006584386444754071
30000,107.3,200.0,6.722731709480286,0.9085140838736786,0.6723906993865967,0.5094774961471558
