Timestep,Training Rewards,Max Q,Eval Rewards,Loss
3500,-500.0,0.0026672496229317305,-499.48,0.1349609681682184
5000,-500.0,0.18957310572221087,-499.58400000000006,0.0004475776351315772
6848,-492.3537090909091,0.4449432634758063,-499.6672000000001,0.0006033852143003018
8348,-489.86309905454544,0.741295573122031,-498.93042666666673,0.0008575740766863993
10234,-484.87032537274183,1.0959280916838003,-491.4643413333334,0.0013392190311604549
11734,-485.94493992417716,1.4930673448150955,-492.3914730666667,0.0012990517465317965
13614,-484.955047392943,1.9490698537012603,-486.45317845333335,0.0010915930003847923
15114,-482.6996509318534,2.4398088237109214,-486.065876096,0.0016997451128657887
16614,-486.22155461044224,2.9554889804508493,-482.0627008768,0.001285674159217387
18114,-488.0247692938798,3.487638228681077,-475.3934940347733,0.0013500557599605645
19614,-492.57801521179977,4.03749392070898,-463.82812856115197,0.001022828683272085
21114,-496.1999437884415,4.6014140491057685,-443.3458361822549,0.001186278234227886
22614,-498.054371219682,5.195830718847587,-445.3133356124706,0.0015583158996784877
24576,-497.28427045158173,5.82963129854143,-456.25066848997653,0.0017130918320333096
26367,-487.9188371769679,6.468871011096806,-422.2772014586479,0.002253757123075813
27940,-450.2675112328156,7.127519205596035,-437.82176116691835,0.001877823726201354
29509,-391.19795141410236,7.777801796657377,-401.5174089335347,0.002156092905931364
31056,-341.18633138603974,8.439594823188939,-409.71392714682776,0.0014624735495128896
32905,-329.98012373524415,9.102694095893263,-364.7111417174622,0.0021096569037976276
34699,-323.99581888978514,9.78633828264101,-343.5789133739698,0.001963253583409057
36404,-326.8907366004714,10.476662891721825,-321.3231306991758,0.0026022476388953626
37933,-314.0739565692425,11.166743077528562,-357.0585045593406,0.0027377801616169997
39717,-291.4911119500433,11.86006653316137,-375.7901369808058,0.002118821257634734
41233,-253.2176699074924,12.542775904782314,-394.79544291797794,0.002171184512633435
42783,-236.59140752689632,13.216433010554631,-388.463021001049,0.0019389396512415782
44450,-246.37775301445123,13.886822577603434,-385.23375013417257,0.0028177173398919986
46027,-245.18352701955365,14.55616199496568,-408.187000107338,0.00169310065541883
47712,-263.52197813376733,15.215307929918062,-370.66960008587046,0.003109734854454682
49310,-262.13476977230823,15.876471020619901,-367.50568006869634,0.0020335688915868204
51274,-248.1317717538587,16.546442402556867,-333.6278773882904,0.002361189229700548
52917,-265.41086453843855,17.21507570437772,-323.12896857729896,0.0020688424991885837
54530,-238.8821163402311,17.876792842281503,-335.4798415285058,0.0033163406029872865
56156,-257.1338975058936,18.53315496630785,-364.94387322280465,0.002934639147616221
57772,-274.94154842778494,19.18309190163953,-375.65843191157705,0.002872733780968967
59440,-261.5042506043866,19.821666258982326,-352.34007886259496,0.0026460776577004793
