Timestep,Training Rewards,Max Q,Eval Rewards,Loss
506,20.333333333333332,0.068749483064595,9.716666666666667,0.49592235393822187
1035,27.5,0.23044845944324457,9.516666666666667,0.04213046132904484
1558,16.0,0.41384443741198707,8.9,0.018531858963152015
2058,20.5,0.6275503267656156,8.966666666666667,0.025028856874621468
2572,14.166666666666666,0.882069540470201,9.133333333333333,0.029454250051685903
3081,15.166666666666666,1.1750433938906109,9.3,0.035900245290822516
3587,11.166666666666666,1.4929768498918032,9.2,0.03581746744976155
4109,20.833333333333332,1.8302170315975756,9.3,0.04198575523786154
4627,14.666666666666666,2.1886633092102894,9.266666666666667,0.036306445803233944
5129,26.666666666666668,2.5753100096887875,17.2,0.04115462416489506
5714,37.166666666666664,3.0149096966696947,121.55,0.042230847676351116
6235,81.66666666666667,3.4905081476352464,200.0,0.03134485006143413
6857,157.16666666666666,4.001336015461252,200.0,0.029774820627468494
7457,170.33333333333334,4.542276330811311,200.0,0.0258676580471372
8057,200.0,5.110425125968731,200.0,0.025847594139345124
8657,200.0,5.703785378391592,200.0,0.02358413965512922
9257,200.0,6.318978165091617,200.0,0.024951012142735336
9857,200.0,6.950677358654527,200.0,0.021914797384030134
10457,200.0,7.598416083201418,200.0,0.023300829385399305
11057,200.0,8.260642456068778,200.0,0.017904388538715257
11657,200.0,8.935147198753322,200.0,0.022995496821372724
12257,200.0,9.620755492199548,200.0,0.020778833858181064
12857,200.0,10.31637607445536,200.0,0.017389025761473876
13457,200.0,11.01827898836132,200.0,0.01917223035592839
14000,190.5,11.722459460862444,200.0,0.019180038909486326
