Timestep,Training Rewards,Max Q,Eval Rewards,Loss
3401,-489.3561904761905,0.09421306090742274,-500.0,0.1809136233681623
4901,-489.1725917460317,0.26908940621992167,-445.36333333333334,0.0006364646490269038
6401,-490.29273061033183,0.4948835324962746,-395.5506666666667,0.0006416140442137867
7901,-492.6298780724899,0.7845499944073332,-413.63720000000006,0.001190484170769557
9401,-496.2264975731148,1.121638795918526,-430.90976,0.0008769792027306825
11301,-493.48517340594776,1.5275650125431584,-444.727808,0.001373955082209521
12801,-492.5570754505119,1.9663202355872027,-455.78224639999996,0.0016140476157819623
14301,-492.08188929732876,2.4366098687013853,-464.62579712,0.0015067457617299227
15801,-493.5219273202323,2.934046715505991,-471.70063769600006,0.0013242220713020143
17301,-496.6832267879589,3.4572184307404976,-477.36051015680005,0.001286742795828148
18801,-498.3018121154349,3.9949221631173613,-476.7150747921067,0.0019289017359681278
20301,-499.1305278031026,4.532732688961206,-435.36872650035207,0.001507346460888736
22080,-491.64826418815085,5.121147071523634,-429.66164786694833,0.0019255301560747585
23994,-482.99752901146655,5.738549105421007,-411.51265162689197,0.0021633808234413207
25677,-447.13017697314405,6.364199609167448,-369.37012130151356,0.002145665594195897
27352,-401.45505639055983,7.010814381176582,-348.46609704121084,0.001954620984814165
28935,-354.0254862113919,7.671047075066369,-346.366210966302,0.0022062924208123636
30593,-337.7588046550822,8.331055847602027,-324.77630210637494,0.002587884123450968
32162,-309.3503027541686,8.998770235816833,-359.8210416850999,0.0018039359330917716
33893,-267.831915012151,9.671895393636735,-325.72683334807994,0.0030268616616006792
35618,-239.651738578525,10.34662097346073,-291.6448000117973,0.0023640496990496784
37312,-203.39065678059293,11.0227651275284,-260.8225066761045,0.0028796076188563734
38878,-202.97982959820672,11.705642346924531,-308.6580053408836,0.002648715902594523
40496,-214.5180171414564,12.375833222980367,-280.50973760604023,0.0024961314249070336
42046,-186.45731908379133,13.050095993617841,-320.85445675149884,0.0027414397723034274
43600,-172.8849704723975,13.70332129296832,-284.74023206786575,0.002804514299531144
45194,-183.01729154102367,14.358816093599163,-273.2188523209593,0.0028001872596282507
46757,-182.2537431673498,15.001554762190933,-242.66841519010077,0.0029948780826869166
48275,-188.94175566575603,15.652175611315968,-294.1347321520806,0.0029335802517235082
49833,-200.92312379556947,16.282672454267143,-262.5377857216645,0.0036258324125425538
51425,-186.31177913050408,16.912730124633004,-239.77689524399827,0.0033310402844965482
53069,-169.6265687070939,17.541404223147772,-220.1515161951986,0.004669024123364202
54622,-158.81900546477496,18.17367090185548,-227.3345462894922,0.0035709133075671196
56279,-165.70222154336832,18.810776233762176,-277.97763703159376,0.0035724263086649834
57921,-172.04666397768284,19.428953441520914,-248.552109625275,0.0027761352483005783
59426,-155.67881053631788,20.0369107801494,-227.70502103355332,0.0040396850284471954
